code,year,value,inicator
AFG,1970,301.85,CME_MRY0T4: Under-five mortality rate
AFG,1971,296.40,CME_MRY0T4: Under-five mortality rate
AFG,1972,290.74,CME_MRY0T4: Under-five mortality rate
AFG,1973,285.23,CME_MRY0T4: Under-five mortality rate
AFG,1974,279.58,CME_MRY0T4: Under-five mortality rate
AFG,1975,274.00,CME_MRY0T4: Under-five mortality rate
AFG,1976,268.26,CME_MRY0T4: Under-five mortality rate
AFG,1977,262.39,CME_MRY0T4: Under-five mortality rate
AFG,1978,256.39,CME_MRY0T4: Under-five mortality rate
AFG,1979,250.28,CME_MRY0T4: Under-five mortality rate
AFG,1980,243.84,CME_MRY0T4: Under-five mortality rate
AFG,1981,237.31,CME_MRY0T4: Under-five mortality rate
AFG,1982,230.80,CME_MRY0T4: Under-five mortality rate
AFG,1983,224.20,CME_MRY0T4: Under-five mortality rate
AFG,1984,217.71,CME_MRY0T4: Under-five mortality rate
AFG,1985,211.10,CME_MRY0T4: Under-five mortality rate
AFG,1986,204.56,CME_MRY0T4: Under-five mortality rate
AFG,1987,197.94,CME_MRY0T4: Under-five mortality rate
AFG,1988,191.40,CME_MRY0T4: Under-five mortality rate
AFG,1989,184.86,CME_MRY0T4: Under-five mortality rate
AFG,1990,178.45,CME_MRY0T4: Under-five mortality rate
AFG,1991,172.23,CME_MRY0T4: Under-five mortality rate
AFG,1992,166.35,CME_MRY0T4: Under-five mortality rate
AFG,1993,160.78,CME_MRY0T4: Under-five mortality rate
AFG,1994,155.51,CME_MRY0T4: Under-five mortality rate
AFG,1995,150.59,CME_MRY0T4: Under-five mortality rate
AFG,1996,145.99,CME_MRY0T4: Under-five mortality rate
AFG,1997,141.57,CME_MRY0T4: Under-five mortality rate
AFG,1998,137.35,CME_MRY0T4: Under-five mortality rate
AFG,1999,133.30,CME_MRY0T4: Under-five mortality rate
AFG,2000,129.34,CME_MRY0T4: Under-five mortality rate
AFG,2001,125.31,CME_MRY0T4: Under-five mortality rate
AFG,2002,121.19,CME_MRY0T4: Under-five mortality rate
AFG,2003,117.03,CME_MRY0T4: Under-five mortality rate
AFG,2004,112.79,CME_MRY0T4: Under-five mortality rate
AFG,2005,108.56,CME_MRY0T4: Under-five mortality rate
AFG,2006,104.27,CME_MRY0T4: Under-five mortality rate
AFG,2007,100.04,CME_MRY0T4: Under-five mortality rate
AFG,2008,95.87,CME_MRY0T4: Under-five mortality rate
AFG,2009,91.79,CME_MRY0T4: Under-five mortality rate
AFG,2010,87.79,CME_MRY0T4: Under-five mortality rate
AFG,2011,83.96,CME_MRY0T4: Under-five mortality rate
AFG,2012,80.27,CME_MRY0T4: Under-five mortality rate
AFG,2013,76.77,CME_MRY0T4: Under-five mortality rate
AFG,2014,73.38,CME_MRY0T4: Under-five mortality rate
AFG,2015,70.17,CME_MRY0T4: Under-five mortality rate
AFG,2016,67.25,CME_MRY0T4: Under-five mortality rate
AFG,2017,64.58,CME_MRY0T4: Under-five mortality rate
AFG,2018,62.17,CME_MRY0T4: Under-five mortality rate
AFG,2019,59.92,CME_MRY0T4: Under-five mortality rate
AFG,2020,57.80,CME_MRY0T4: Under-five mortality rate
AFG,2021,55.66,CME_MRY0T4: Under-five mortality rate
AFG,1970,37.42,DM_LIFE_EXP: Life expectancy
AFG,1971,37.92,DM_LIFE_EXP: Life expectancy
AFG,1972,38.44,DM_LIFE_EXP: Life expectancy
AFG,1973,39.00,DM_LIFE_EXP: Life expectancy
AFG,1974,39.55,DM_LIFE_EXP: Life expectancy
AFG,1975,40.10,DM_LIFE_EXP: Life expectancy
AFG,1976,40.65,DM_LIFE_EXP: Life expectancy
AFG,1977,41.23,DM_LIFE_EXP: Life expectancy
AFG,1978,40.27,DM_LIFE_EXP: Life expectancy
AFG,1979,39.09,DM_LIFE_EXP: Life expectancy
AFG,1980,39.62,DM_LIFE_EXP: Life expectancy
AFG,1981,40.16,DM_LIFE_EXP: Life expectancy
AFG,1982,37.77,DM_LIFE_EXP: Life expectancy
AFG,1983,38.19,DM_LIFE_EXP: Life expectancy
AFG,1984,33.33,DM_LIFE_EXP: Life expectancy
AFG,1985,33.55,DM_LIFE_EXP: Life expectancy
AFG,1986,39.40,DM_LIFE_EXP: Life expectancy
AFG,1987,39.84,DM_LIFE_EXP: Life expectancy
AFG,1988,43.96,DM_LIFE_EXP: Life expectancy
AFG,1989,45.16,DM_LIFE_EXP: Life expectancy
AFG,1990,45.97,DM_LIFE_EXP: Life expectancy
AFG,1991,46.66,DM_LIFE_EXP: Life expectancy
AFG,1992,47.60,DM_LIFE_EXP: Life expectancy
AFG,1993,51.47,DM_LIFE_EXP: Life expectancy
AFG,1994,51.49,DM_LIFE_EXP: Life expectancy
AFG,1995,52.54,DM_LIFE_EXP: Life expectancy
AFG,1996,53.24,DM_LIFE_EXP: Life expectancy
AFG,1997,53.63,DM_LIFE_EXP: Life expectancy
AFG,1998,52.94,DM_LIFE_EXP: Life expectancy
AFG,1999,54.85,DM_LIFE_EXP: Life expectancy
AFG,2000,55.30,DM_LIFE_EXP: Life expectancy
AFG,2001,55.80,DM_LIFE_EXP: Life expectancy
AFG,2002,56.45,DM_LIFE_EXP: Life expectancy
AFG,2003,57.34,DM_LIFE_EXP: Life expectancy
AFG,2004,57.94,DM_LIFE_EXP: Life expectancy
AFG,2005,58.36,DM_LIFE_EXP: Life expectancy
AFG,2006,58.68,DM_LIFE_EXP: Life expectancy
AFG,2007,59.11,DM_LIFE_EXP: Life expectancy
AFG,2008,59.85,DM_LIFE_EXP: Life expectancy
AFG,2009,60.36,DM_LIFE_EXP: Life expectancy
AFG,2010,60.85,DM_LIFE_EXP: Life expectancy
AFG,2011,61.42,DM_LIFE_EXP: Life expectancy
AFG,2012,61.92,DM_LIFE_EXP: Life expectancy
AFG,2013,62.42,DM_LIFE_EXP: Life expectancy
AFG,2014,62.55,DM_LIFE_EXP: Life expectancy
AFG,2015,62.66,DM_LIFE_EXP: Life expectancy
AFG,2016,63.14,DM_LIFE_EXP: Life expectancy
AFG,2017,63.02,DM_LIFE_EXP: Life expectancy
AFG,2018,63.08,DM_LIFE_EXP: Life expectancy
AFG,2019,63.56,DM_LIFE_EXP: Life expectancy
AFG,2020,62.58,DM_LIFE_EXP: Life expectancy
AFG,2021,61.98,DM_LIFE_EXP: Life expectancy
AFG,1970,10752.97,DM_POP_TOT: Total population
AFG,1971,11015.86,DM_POP_TOT: Total population
AFG,1972,11286.75,DM_POP_TOT: Total population
AFG,1973,11575.30,DM_POP_TOT: Total population
AFG,1974,11869.88,DM_POP_TOT: Total population
AFG,1975,12157.39,DM_POP_TOT: Total population
AFG,1976,12425.27,DM_POP_TOT: Total population
AFG,1977,12687.30,DM_POP_TOT: Total population
AFG,1978,12938.86,DM_POP_TOT: Total population
AFG,1979,12986.37,DM_POP_TOT: Total population
AFG,1980,12486.63,DM_POP_TOT: Total population
AFG,1981,11155.20,DM_POP_TOT: Total population
AFG,1982,10088.29,DM_POP_TOT: Total population
AFG,1983,9951.45,DM_POP_TOT: Total population
AFG,1984,10243.69,DM_POP_TOT: Total population
AFG,1985,10512.22,DM_POP_TOT: Total population
AFG,1986,10448.44,DM_POP_TOT: Total population
AFG,1987,10322.76,DM_POP_TOT: Total population
AFG,1988,10383.46,DM_POP_TOT: Total population
AFG,1989,10673.17,DM_POP_TOT: Total population
AFG,1990,10694.80,DM_POP_TOT: Total population
AFG,1991,10745.17,DM_POP_TOT: Total population
AFG,1992,12057.43,DM_POP_TOT: Total population
AFG,1993,14003.76,DM_POP_TOT: Total population
AFG,1994,15455.55,DM_POP_TOT: Total population
AFG,1995,16418.91,DM_POP_TOT: Total population
AFG,1996,17106.60,DM_POP_TOT: Total population
AFG,1997,17788.82,DM_POP_TOT: Total population
AFG,1998,18493.13,DM_POP_TOT: Total population
AFG,1999,19262.85,DM_POP_TOT: Total population
AFG,2000,19542.98,DM_POP_TOT: Total population
AFG,2001,19688.63,DM_POP_TOT: Total population
AFG,2002,21000.26,DM_POP_TOT: Total population
AFG,2003,22645.13,DM_POP_TOT: Total population
AFG,2004,23553.55,DM_POP_TOT: Total population
AFG,2005,24411.19,DM_POP_TOT: Total population
AFG,2006,25442.94,DM_POP_TOT: Total population
AFG,2007,25903.30,DM_POP_TOT: Total population
AFG,2008,26427.20,DM_POP_TOT: Total population
AFG,2009,27385.31,DM_POP_TOT: Total population
AFG,2010,28189.67,DM_POP_TOT: Total population
AFG,2011,29249.16,DM_POP_TOT: Total population
AFG,2012,30466.48,DM_POP_TOT: Total population
AFG,2013,31541.21,DM_POP_TOT: Total population
AFG,2014,32716.21,DM_POP_TOT: Total population
AFG,2015,33753.50,DM_POP_TOT: Total population
AFG,2016,34636.21,DM_POP_TOT: Total population
AFG,2017,35643.42,DM_POP_TOT: Total population
AFG,2018,36686.78,DM_POP_TOT: Total population
AFG,2019,37769.50,DM_POP_TOT: Total population
AFG,2020,38972.23,DM_POP_TOT: Total population
AFG,2021,40099.46,DM_POP_TOT: Total population
AFG,2017,4.06,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP)
AFG,2018,0.49,ECON_GVT_HLTH_EXP_PTGDP: government expenditure on health (% GDP)
