Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,..,663.141052810937,651.987861948108,628.146803888496,592.476537451681,520.252064031151,530.149830802984,502.056770622973,500.522664145294,516.866552182696,368.754614175459
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,617.230435515505,1126.68334010717,4247.63004748194,4413.06200528903,4578.63320812155,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913,5396.21586434732,5332.16047456847,6492.87201224634
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2431.55353132258,1780.37587355483,5610.73089400516,5519.77757552373,5516.23060417242,4197.42136055142,3967.19945122178,4134.93671999429,4171.79501086373,4022.15018374716,3337.25251157504,3690.62787797599
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,11920.0610903131,12038.8715916596,12313.9973571825,13101.5418159165,13300.8246114811,12372.8847825647,13195.9358995539,13672.576657298,15501.5263374397,15743.3107582991
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,19209.7758382742,21620.4850212897,44904.5800426279,44750.4356804443,45682.2462308595,38885.3760140905,39932.1644867147,40632.4843928243,42903.4435794631,41327.5020305489,37207.4938608348,42137.3272710372
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,949.286381342915,556.88424373456,4962.55207190082,5101.98387641128,5059.08044128816,3100.83068530533,1709.51553404553,2283.21423255725,2487.50099555267,2142.23875712854,1603.99347745326,1953.53375721508
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,7255.40630322086,11010.1974601342,13686.4765853976,13350.149136673,14004.8112122163,14861.8827074704,15862.6516627488,16110.5562811025,17527.1696291931,18319.4560540762,14787.6357752901,15781.3957017982
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,4330.95944095164,7666.51783423783,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658,11795.1593866287,9963.6725062053,8496.42414176374,10636.1201956183
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,634.5604132585,603.298025247115,3643.71518342262,3833.1575324911,4017.22980824942,3666.1418758065,3679.95197212365,4041.99502080997,4391.92369729686,4828.50517771789,4505.86736397124,4966.51347122366
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,11638.7337057728,21023.1575127316,25609.9557239373,26515.678080228,26942.3079764655,28421.3864931862,28451.2737445083,29326.7080582111,30220.5945232395,31650.7605367511,24487.8635601966,29342.1008575886
